,MZ149,MZ283,MZ84,MZ85,MZ112,MZ122,MZ150,MZ168,MINS_ELAPSED,nh3,signal_84,signal_85,signal_149,SOLUTION_ID,mM_AMMONIA_BUBBLER
../../data/accutof_raw/181015.7fl/Data002.7rw,78,106138,1257,249,,,,,6,0,FALSE,TRUE,FALSE,bd07hg20as03_023,0
../../data/accutof_raw/181015.7fl/Data003.7rw,81,26146,150,68,,,,,100,1,TRUE,FALSE,FALSE,bd07hg20as03_023,145
../../data/accutof_raw/181015.7fl/Data004.7rw,230,155640,1543,533,,,,,3,0,TRUE,TRUE,TRUE,bd07hg20as03_023,0
../../data/accutof_raw/181016.7fl/Data001.7rw,2383,186566,4511,140,,,,,5,1,TRUE,FALSE,TRUE,bd07hg20as03_024,145
../../data/accutof_raw/181016.7fl/Data002.7rw,123,67635,603,220,,,,,5,1,TRUE,TRUE,TRUE,bd07hg20as03_024,145
../../data/accutof_raw/181016.7fl/Data003.7rw,85,23323,783,168,,,,,3,0,TRUE,TRUE,FALSE,bd10hg10ss10_001,0
../../data/accutof_raw/181016.7fl/Data004.7rw,59,12960,299,91,,,,,3,0,FALSE,FALSE,FALSE,peg200-peg400,0
../../data/accutof_raw/181016.7fl/Data005.7rw,2272,284061,9164,434,,,,,5,1,TRUE,TRUE,TRUE,bd07hg20as03_025,145
../../data/accutof_raw/181016.7fl/Data006.7rw,71,109613,187,593,,,,,3,0,TRUE,TRUE,FALSE,butenedial-peg6-181016,0
../../data/accutof_raw/181016.7fl/Data007.7rw,864,91545,2517,97,,,,,3,1,TRUE,TRUE,TRUE,butenedial-peg6-181016,145
../../data/accutof_raw/181016.7fl/Data008.7rw,130,217235,830,1592,,,,,3,0,TRUE,TRUE,TRUE,butenedial-peg6-181016,0
../../data/accutof_raw/181016.7fl/Data009.7rw,112,107764,105,743,,,,,4,0,FALSE,TRUE,FALSE,butenedial-peg6-181016,0
../../data/accutof_raw/181016.7fl/Data010.7rw,2854,125562,2885,84,,,,,18,1,TRUE,TRUE,TRUE,butenedial-peg6-181016,145
../../data/accutof_raw/181016.7fl/Data011.7rw,91,78245,471,335,,,,,16,0,FALSE,TRUE,FALSE,butenedial-peg6-181016,0
../../data/accutof_raw/181016.7fl/Data012.7rw,1304,84347,1198,50,,,,,11,1,TRUE,FALSE,TRUE,butenedial-peg6-181016,145
../../data/accutof_raw/181017.7fl/Data001.7rw,87,78937,150,303,,,,,4,0,FALSE,TRUE,FALSE,butenedial-peg6-181016,0
../../data/accutof_raw/181017.7fl/Data002.7rw,78,218559,1209,496,,,,,15,2,FALSE,TRUE,FALSE,butenedial-peg6-181016,14.5
../../data/accutof_raw/181017.7fl/Data003.7rw,1101,93331,2243,117,,,,,18,0,FALSE,FALSE,TRUE,butenedial-peg6-181016,0
../../data/accutof_raw/181017.7fl/Data004.7rw,6183,277682,4929,222,,,,,16,2,FALSE,FALSE,TRUE,butenedial-peg6-181016,14.5
../../data/accutof_raw/181017.7fl/Data006.7rw,92,203476,172,611,,,,,16,0,FALSE,TRUE,FALSE,butenedial-peg6-181016,0
../../data/accutof_raw/181017.7fl/Data007.7rw,6866,314351,3978,126,,,,,17,2,TRUE,TRUE,TRUE,butenedial-peg6-181016,14.5
../../data/accutof_raw/181017.7fl/Data008.7rw,3187,201011,3356,121,,,,,10,2,TRUE,TRUE,TRUE,butenedial-peg6-181016,14.5
../../data/accutof_raw/181017.7fl/Data009.7rw,678,44458,1378,57,,,,,37,2,TRUE,FALSE,TRUE,butenedial-peg6-181016,14.5
../../data/accutof_raw/181018.7fl/Data001.7rw,85,337717,433,6365,,,,,13,0,TRUE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181018.7fl/Data002.7rw,2823,99475,10299,616,,,,,13,3,TRUE,TRUE,TRUE,butenedial-peg6-181018,1.45
../../data/accutof_raw/181018.7fl/Data003.7rw,1975,90338,5895,220,,,,,34,3,TRUE,TRUE,TRUE,butenedial-peg6-181018,1.45
../../data/accutof_raw/181018.7fl/Data004.7rw,3703,197891,4916,322,,,,,14,3,TRUE,TRUE,TRUE,butenedial-peg6-181018,1.45
../../data/accutof_raw/181019.7fl/Data001.7rw,151,113473,72,2453,,,,,10,0,FALSE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181019.7fl/Data003.7rw,330,51859,3948,822,0,267,1463,725,18,4,TRUE,TRUE,TRUE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181019.7fl/Data007.7rw,926,133246,2916,622,45,354,2057,1018,37,4,TRUE,TRUE,TRUE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181019.7fl/Data008.7rw,1906,212295,4594,528,59,448,3300,1294,70,4,TRUE,TRUE,TRUE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181022.7fl/Data003.7rw,1015,158559,4903,1368,0,384,2804,1215,34,4,TRUE,TRUE,TRUE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181022.7fl/Data004.7rw,1047,247186,4774,2741,0,657,4358,2327,13,4,TRUE,TRUE,TRUE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181022.7fl/Data005.7rw,1462,151633,5096,823,0,454,2865,1127,69,4,TRUE,TRUE,TRUE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181022.7fl/Data007.7rw,684,213730,2368,2550,37,552,2962,1594,14,4,TRUE,TRUE,TRUE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181022.7fl/Data011.7rw,1664,407552,12353,7377,0,1401,7419,3535,14,4,TRUE,TRUE,TRUE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181023.7fl/Data001.7rw,277,66335,3595,1860,0,231,1430,594,14,4,TRUE,TRUE,TRUE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181023.7fl/Data002.7rw,168,61532,315,4553,,,,,3,0,FALSE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181023.7fl/Data003.7rw,202,72270,268,1989,,,,,4,0,FALSE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181023.7fl/Data004.7rw,148,81600,347,5554,,,,,4,0,FALSE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181023.7fl/Data005.7rw,163,120257,234,5644,,,,,3,0,FALSE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181023.7fl/Data006.7rw,133,17764,193,1195,,,,,3,0,FALSE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181023.7fl/Data007.7rw,193,168522,236,6044,,,,,3,0,FALSE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181023.7fl/Data008.7rw,133,12889,181,779,,,,,4,0,FALSE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181023.7fl/Data009.7rw,130,137270,238,6015,,,,,2,0,FALSE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181023.7fl/Data010.7rw,147,47727,188,2164,,,,,4,0,FALSE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181023.7fl/Data011.7rw,130,20578,175,625,,,,,3,0,FALSE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181023.7fl/Data012.7rw,176,42784,226,3573,,,,,4,0,FALSE,TRUE,FALSE,butenedial-peg6-181018,0
../../data/accutof_raw/181023.7fl/Data013.7rw,130,5143,405,152,0,0,0,0,3,4,FALSE,TRUE,FALSE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181023.7fl/Data014.7rw,110,19589,259,456,0,0,0,0,4,4,FALSE,TRUE,FALSE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181023.7fl/Data015.7rw,843,254702,3945,2669,0,577,3558,1817,15,4,TRUE,TRUE,TRUE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181023.7fl/Data016.7rw,142,10875,1173,280,0,0,89,93,14,4,TRUE,TRUE,FALSE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181023.7fl/Data017.7rw,1064,227099,2489,805,0,403,3152,1320,65,4,TRUE,TRUE,TRUE,butenedial-peg6-181018,0.29
../../data/accutof_raw/181024.7fl/Data001.7rw,231,23552,333,475,,,,,3,0,FALSE,TRUE,FALSE,bd10hg20_003,0.058
../../data/accutof_raw/181024.7fl/Data002.7rw,152,142117,1435,645,,,,,16,5,FALSE,TRUE,FALSE,bd10hg20_003,0.058
../../data/accutof_raw/181024.7fl/Data003.7rw,144,60302,1749,223,,,,,35,5,FALSE,TRUE,FALSE,bd10hg20_003,0.058