SOLUTION_ID,MINS_ELAPSED,INTERNAL_STD,SIG_INTERNAL_STD_AVG,SIG_BUTENEDIAL_NORM,PPM_INTERNAL_STD
bdph9.6,3.5,DMS,1,0.8575,1.9044
bdph9.6,8,DMS,1,0.80375,1.9046
bdph9.6,11.5,DMS,1,0.73125,1.9047
bdph9.6,15.5,DMS,1,0.66875,1.9047
bdph9.6,19,DMS,1,0.58875,1.9047
bdph9.6,22.5,DMS,1,0.575,1.905
bdph10.0,4,DMS,1,0.44875,1.9024
bdph10.0,9,DMS,1,0.345,1.9027
bdph10.0,12,DMS,1,0.3075,1.9028
bdph10.0,16.5,DMS,1,0.2625,1.903
bdph10.0,21,DMS,1,0.20875,1.9032
bdph10.0,24.5,DMS,1,0.1875,1.9033
bdph10.0,28,DMS,1,0.16875,1.9031
bdph10.4,3.5,DMS,1,0.3425,1.9017
bdph10.4,6,DMS,1,0.23875,1.9017
bdph10.4,10.5,DMS,1,0.19,1.9017
bdph10.4,14,DMS,1,0.1575,1.9017
bdph10.4,17.5,DMS,1,0.12125,1.9017
bdph10.4,21.5,DMS,1,0.1125,1.9017
bdph8,5,DMS,1,0.365,1.08355
bdph8,9,DMS,1,0.365,1.084725
bdph8,12.8,DMS,1,0.35,1.0847
bdph8,16.3,DMS,1,0.34,1.084775
bdph8,20,DMS,1,0.3375,1.084775
bdph8,23.8,DMS,1,0.3325,1.085325
bdph8,27.3,DMS,1,0.33,1.08485
bdph11,4,DMS,1,0.235,6.54515
bdph11,7.8,DMS,1,0.19,6.54515
bdph11,11.3,DMS,1,0.1525,6.54515
bdph11,14.7,DMS,1,0.1375,6.54515
bdph11,18.3,DMS,1,0.115,6.54515
bdph11,21.8,DMS,1,0.1,6.54515
bdph11,25.5,DMS,1,0.09,6.54515
bdph10,4.8,DMS,1,0.3075,6.585
bdph10,9,DMS,1,0.28,6.595
bdph10,13.5,DMS,1,0.2325,6.595
bdph10,17,DMS,1,0.2075,6.595
bdph10,20.5,DMS,1,0.195,6.595
bdph10,24,DMS,1,0.1775,6.595
bdph10,27.5,DMS,1,0.16,6.595
bdph9,4,DMS,1,0.2925,1.06995
bdph9,8,DMS,1,0.27,1.06995
bdph9,11.5,DMS,1,0.2425,1.06995
bdph9,15,DMS,1,0.23,1.06995
bdph9,19,DMS,1,0.2125,1.06995
bdph9,22.5,DMS,1,0.1975,1.06995
bdph9,26.5,DMS,1,0.19,1.06995
bdph9,62.5,DMS,1,0.091064565,1.06995
bdph9,66.5,DMS,1,0.08239175,1.06995
bdph9,124.5,DMS,1,0.030354855,1.06995
bdph9,128.5,DMS,1,0.030354855,1.06995
bdph9,182,DMS,1,0.010407379,1.06995
bdph9,187,DMS,1,0.010407379,1.06995
bdph9,242,DMS,1,0.002601845,1.06995
bdph9,246.5,DMS,1,0.004336408,1.06995
bdph9,306,DMS,1,0.000433641,1.06995
bdph9,365,DMS,1,0.001300922,1.07915
bdph9,369,DMS,1,0.001734563,1.0789
bdph9,1700,DMS,1,0,1.06805
bdph9,3141,DMS,1,0,1.0685
bdph9,4661,DMS,1,0,1.06925