MINS_ELAPSED,MZ85_MZ283,MZ85_MZ283_MIN,MZ85_MZ283_MAX
0.0,0.03263395265474582,0.028101861193281247,0.037240558581287775
1.0,0.03242769349240136,0.02787082470746263,0.03709149510144705
2.0,0.0322243878766963,0.027635279496472053,0.03695890227692404
3.0,0.03202270965723175,0.027401725905227298,0.03682678353455165
4.0,0.03181909096339762,0.027170145258703152,0.03669513699670028
5.0,0.03161452357589695,0.0269405275856613,0.03656396172058897
6.0,0.031410426122548345,0.026712853317849845,0.036433255842494246
7.0,0.031212393823604585,0.026487103809859268,0.03630301759025987
8.0,0.0310104268269685,0.026255061815016495,0.03617324519172959
9.0,0.030808076897430377,0.026020071229618875,0.03604393687474716
10.0,0.03060757343363757,0.025787183162990134,0.03591509086715634
11.0,0.03041751142584084,0.025556379610291814,0.035786705396800886
12.0,0.030221238044747863,0.02532764186601795,0.03565877869152455
13.0,0.030031021636354262,0.02510095135046601,0.03553130897917109
14.0,0.02983979255278747,0.02487629011453952,0.035404294487584254
15.0,0.029650011770846217,0.024653639892637004,0.03527773344999772
16.0,0.02946122728383958,0.02443298235166475,0.03515162463810416
17.0,0.029273943521805956,0.02421429938674498,0.035025966748004574
18.0,0.02908873790940942,0.023997573974861134,0.03490075815884397
19.0,0.02889766906331227,0.02378168353615071,0.03477599724976736
20.0,0.028714899678650284,0.023567250130561695,0.03465168239991976
21.0,0.028531681201471093,0.023354750626369304,0.03452781198844618
22.0,0.02835474272777274,0.023144166214356082,0.03440438439449162
23.0,0.02817472272588995,0.02293548115825064,0.03428139799720111
24.0,0.02799452768250974,0.022728677708730657,0.034158851175719644
25.0,0.027808576981655245,0.02252373862817369,0.03403674230919224
26.0,0.027635671457509357,0.02232064748819513,0.03391506977676391
27.0,0.027464173821737672,0.022119387508696162,0.03379383210575643
28.0,0.027294355031019592,0.02191994209669914,0.03367302793928518
29.0,0.027120853594378193,0.021722294870767107,0.033552655722527275
30.0,0.02694591650751655,0.021526429661003803,0.03343271389838817
31.0,0.02677526736201561,0.02133233050905368,0.03331320090977335
32.0,0.026604480036981754,0.02113998166810188,0.03319411519958828
33.0,0.026428937796059745,0.020949367268936547,0.03307545521073844
34.0,0.02625630616410172,0.020760471279166987,0.032957219386129284
35.0,0.02609470611640887,0.02057327823670591,0.0328394061686663
36.0,0.025926962817874866,0.02038777285928103,0.032722014001254955
37.0,0.02576156419394833,0.020203940039040583,0.03260504132680073
38.0,0.02559135970262986,0.020021764842553323,0.03248848949714451
39.0,0.025427409917723322,0.01984123251080852,0.03237235065140729
40.0,0.02526351405842333,0.019662328459215967,0.03225662732277846
41.0,0.025106143368721454,0.019485037853825177,0.03214131796595625
42.0,0.02494914319999797,0.019309345790272627,0.032026421041094495
43.0,0.02478708985864571,0.0191352378551046,0.031911935013802586
44.0,0.024624848146279913,0.018962699771904932,0.031797858355145515
45.0,0.02446906005553671,0.018791717401156354,0.03168418954164384
46.0,0.02431315040569836,0.018622276740240522,0.03157092705527371
47.0,0.024151199233341015,0.018454363923437984,0.03145806938346683
48.0,0.023991564857628166,0.018287965221301293,0.03134561501911052
49.0,0.023834310870090577,0.01812306691865715,0.03123356248794842
50.0,0.023682541698097196,0.017959655413870255,0.03112191052195446
51.0,0.023532367470666046,0.01779771730336735,0.031010657713848266
52.0,0.02338397131300316,0.01763723931146149,0.030899802619778795
53.0,0.02323679544497185,0.017478208290352074,0.030789343803065753
54.0,0.023089353434199905,0.017320611220124814,0.030679279834199602
55.0,0.022945563847440724,0.017164435208751747,0.030569609290841564
56.0,0.022797865790571636,0.01700966774657384,0.03046033075782361
57.0,0.022652963101165685,0.01685629541303929,0.030351442827148474
58.0,0.02250754924742289,0.01670430601159047,0.03024294409798964
59.0,0.022361569927259413,0.016553687054352256,0.030134833176691356
60.0,0.02222154727245029,0.016404426178873516,0.030027108676768614
61.0,0.022079106099060455,0.016256511146998442,0.029919769218907166
62.0,0.021944315730187475,0.01610992984373785,0.029812813430963526
63.0,0.021803617668181438,0.015964670276140513,0.029706239947964952
64.0,0.021666712158430156,0.015820720557052824,0.02960004741210947
65.0,0.02152992474386765,0.015678068647815947,0.029494234472765852
66.0,0.02139199147201984,0.015536702750465425,0.02938879978647363
67.0,0.021252617182936556,0.015396611271244785,0.029283742016943094
68.0,0.021117650381840804,0.015257782726925578,0.029179059835055282
69.0,0.020981888219588768,0.015120205743499324,0.029074751918861996
70.0,0.020848474803957046,0.014983869054869446,0.02897081695358579
71.0,0.02071727910176835,0.014848761501543207,0.028867253626747073
72.0,0.02058420986873242,0.014714872029323648,0.028764060486186176
73.0,0.020454193413111804,0.014582189688001533,0.02866123614448203
74.0,0.020320858439338344,0.014450703630047279,0.02855877928434333
75.0,0.02018727287265576,0.014320403109302897,0.0284566885943462
76.0,0.020060773134434072,0.014191277479673935,0.02835496276893419
77.0,0.019939951009881902,0.014063316193821406,0.028253600508418276
78.0,0.019814646882218033,0.013936508801853736,0.028152600518976847
79.0,0.019689998257573366,0.0138108449500187,0.02805196151265573
80.0,0.019565634728509994,0.013686314379395357,0.027951682207368163
81.0,0.019439987851737367,0.013562906924585989,0.027851761326894812
82.0,0.019312457965410097,0.01344061251240804,0.027752197600883773
83.0,0.0191902842565354,0.013319421160586062,0.02765298976485056
84.0,0.019068999319386146,0.013199322976443634,0.027554136560178112
85.0,0.01894519564146366,0.01308030806767958,0.027455636734116794
86.0,0.018825851306333186,0.012962366607742035,0.027357489039784386
87.0,0.01870733989848767,0.012845488931225845,0.027259692236166103
88.0,0.018591865383133108,0.012729665454517116,0.027162245088114583
89.0,0.018474235092530288,0.012614886674405716,0.02706514636634988
90.0,0.018358580657535033,0.012501143166697776,0.026968394847459474
91.0,0.018241762909684565,0.012388425584828191,0.026871989313898274
92.0,0.018129413942206008,0.012276724658473126,0.026775928553988613
93.0,0.018014329854563978,0.01216603119216251,0.02668021136192024
94.0,0.017897886694847896,0.012056336063892552,0.02658483642768076
95.0,0.01778739690745166,0.011947630223738228,0.02648980242190955
96.0,0.01767500202392126,0.011839904692465797,0.02639510812529686
97.0,0.01756211371700276,0.011733150560145292,0.026300752323105032
98.0,0.017449148638028128,0.011627358984763034,0.026206733805152847
99.0,0.0173384093399319,0.01152252119083412,0.026113051365815525
100.0,0.01722820397548719,0.011418628468014938,0.026019703804024727
101.0,0.017118893594935507,0.011315672169715666,0.025926689923268565
102.0,0.017010485197907398,0.011213643711712767,0.025834008531591585
103.0,0.016904504133969406,0.011112534570761504,0.02574165844159478
104.0,0.016800853728932204,0.011012336283208432,0.025649638470435582
105.0,0.01669860454159003,0.0109130406663848,0.025557947439827866
106.0,0.0165933354840234,0.010814640085805226,0.025466584176041952
107.0,0.016483523187426276,0.010717126511679102,0.025375547509904603
108.0,0.016379676738364053,0.010620491961004406,0.02528483627679902
109.0,0.01627386174912117,0.01052472852886188,0.025194449316664848
110.0,0.016171473803296053,0.010429828388054525,0.025104385473998174
111.0,0.016068593168627465,0.010335783788747067,0.02501464359785153
112.0,0.015966202101462577,0.010242587058105445,0.024925222541833887
113.0,0.015864008262023443,0.010150230599936288,0.024836121164110662
114.0,0.015763658854565293,0.010058706894326395,0.02474733832740371
115.0,0.015665457805478324,0.009968008497282216,0.024658872898991328
116.0,0.015566638657055015,0.009878128040369333,0.02457072373426447
117.0,0.01546937508366807,0.009789058230351933,0.024482889667337204
118.0,0.015371281095935666,0.0097007918488323,0.024395369569880823
119.0,0.015272268933695555,0.009613321751783095,0.024308162319295692
120.0,0.01517622815284482,0.009526640631507632,0.02422126679720769
121.0,0.015080935708699316,0.009440741196920344,0.024134681889468223
122.0,0.014988826616359027,0.009355616402436597,0.024048406486154195
123.0,0.014893387162641105,0.009271259262799205,0.02396243948156804
124.0,0.014803363250099812,0.009187662852189842,0.02387677977423771
125.0,0.01470678604310886,0.009104820303340467,0.023791426266916656
126.0,0.014613118572843729,0.009022724806644743,0.023706377866583868
127.0,0.014522588416549999,0.008941369609269464,0.023621633484443835
128.0,0.014430277920295977,0.008860748014265974,0.02353719203592657
129.0,0.01433611951938494,0.008780853379681583,0.0234530524406876
130.0,0.014243267057312978,0.008701679117671002,0.023369213622607972
131.0,0.014152972202467654,0.00862321869360775,0.02328567450979424
132.0,0.014065212012409484,0.008545465625195587,0.02320243403457849
133.0,0.01397580397282653,0.008468413481579931,0.023119491133518306
134.0,0.013885893355339449,0.008392055897247818,0.0230368447473968
135.0,0.013796115345069571,0.008316386761067142,0.0229544938212226
136.0,0.013708796916644124,0.008241399922070396,0.02287243730422984
137.0,0.013622393959935634,0.008167089227607066,0.02279067414987819
138.0,0.013535997824628977,0.008093448580282167,0.022709203894929978
139.0,0.013452015235681153,0.008020471937406477,0.022628024159493977
140.0,0.01336634327539142,0.007948153310446753,0.02254713462877622
141.0,0.013281588724749917,0.007876486764475969,0.02246653426221953
142.0,0.013200217968335877,0.007805466417623536,0.02238622202345494
143.0,0.013119889791666808,0.00773508644052553,0.022306196880286983
144.0,0.013036691554832086,0.007665341055774918,0.022226457804678995
145.0,0.012955123239767947,0.007596224537371785,0.02214700377273843
146.0,0.012877464861186119,0.007527731210173561,0.02206783376470217
147.0,0.012795936095089243,0.007459855449345247,0.021988946764921816
148.0,0.012714452566566137,0.007392591679809642,0.021910341761849004
149.0,0.012636898851858286,0.007325934384025714,0.021832017748020707
150.0,0.012556362644667977,0.007259878120008294,0.02175397372004454
151.0,0.012475982859766293,0.007194417472419408,0.02167620867858408
152.0,0.012396708656038298,0.007129547072060056,0.021598721628344145
153.0,0.012318347604046941,0.007065261597971652,0.021521511578056124
154.0,0.012237490370354657,0.007001555776936163,0.021444577540463264
155.0,0.012160139661596433,0.006938424382976241,0.021367918532305998
156.0,0.012082893632701038,0.0068758622368553565,0.02129153357430722
157.0,0.012006154293546203,0.006813864205577937,0.021215421691157633
158.0,0.011930865609744075,0.006752425201889497,0.021139581911501004
159.0,0.011857601056097289,0.006691540183776778,0.021064013267919516
160.0,0.011783844664957322,0.006631204153967882,0.02098871479264288
161.0,0.011708108596141187,0.006571412159432402,0.020913685462675052
162.0,0.01163464273164002,0.0065121592908815645,0.020838924296015096
163.0,0.011561724198212601,0.006453440682268358,0.020764430333933406
164.0,0.011487338750799197,0.0063952515247421024,0.020690202621336237
165.0,0.011414025093449277,0.006337587060825529,0.020616240206747925
166.0,0.011341152723651115,0.006280442560136261,0.02054254214229309
167.0,0.01126879161865909,0.006223813334395537,0.020469107483678885
168.0,0.011197317239223,0.00616769473702793,0.02039593529017721
169.0,0.011126069923262216,0.006112082162699937,0.020323024624606924
170.0,0.011055658838365187,0.0060569710468585955,0.02025037455331609
171.0,0.010986556157167086,0.006002356865270073,0.020177984146164174
172.0,0.010917763679861955,0.005948235133558276,0.02010585247650429
173.0,0.010847702375521039,0.005894601406743449,0.02003397862116541
174.0,0.010778434066620216,0.005841451278780777,0.0199623616604346
175.0,0.010710561963693566,0.005788780382098989,0.01989100067803922
176.0,0.01064154398552852,0.0057365843871389575,0.01981989476112917
177.0,0.01057467508349428,0.005684859001892303,0.019750103490627936
178.0,0.010506930554624379,0.005633599973124034,0.01968234013865996
179.0,0.01044043731035961,0.005582803125872647,0.019614809246469148
180.0,0.010375565516744773,0.005532464308697286,0.019547510017878345
181.0,0.010311587110860587,0.005482579392200258,0.019480441659577123
182.0,0.010244922846548595,0.00543314428396458,0.01941360338110768
183.0,0.010180776816732243,0.005384154928164104,0.019346994394850756
184.0,0.01011576432964792,0.005335607305173642,0.019280613916011546
185.0,0.010052573471528159,0.0052874974311790945,0.019214461162605626
186.0,0.009986985438152757,0.005239821357787584,0.019148535355444845
187.0,0.009925286658735804,0.005192575171637575,0.01908283571812327
188.0,0.00986207843742505,0.005145754994009009,0.01901736147700307
189.0,0.009800401549857922,0.005099356980433424,0.018952111861200452
190.0,0.00973708275044885,0.005053377320304091,0.01888708610257157
191.0,0.009675113872213365,0.005007812236486136,0.018822283435698434
192.0,0.009614297683946905,0.004962657984926669,0.018757703097874827
193.0,0.009551698760458093,0.0049179108621851516,0.018693344329092223
194.0,0.009490198980606213,0.004873567232983472,0.0186292063720257
195.0,0.009429543975849834,0.004829623465853891,0.018565288472019856
196.0,0.009368568907374756,0.004786075956554966,0.018501589877074717
197.0,0.009309920861562192,0.004742921132859221,0.018438109837831656
198.0,0.009252451397094935,0.004700155454190986,0.01837484760755931
199.0,0.009194184782106108,0.004657775411264247,0.018311802442139497
200.0,0.009135449310163583,0.004615777525720492,0.01824897360005312
201.0,0.009077910944688676,0.004574158349766556,0.018186360342366086
202.0,0.009020230318245035,0.004532914465812463,0.01812396193271523
203.0,0.008963125099702447,0.00449168514803602,0.018061777637294205
204.0,0.008907287777369523,0.0044507961307684125,0.01799980672483944
205.0,0.008853318825181544,0.0044102793228584895,0.017938048466615997
206.0,0.008797477433504147,0.0043701313241816244,0.01787650213640354
207.0,0.008741128132425769,0.004330348763807688,0.01781516701048222
208.0,0.008685597799217588,0.004290928299612108,0.017754042367618583
209.0,0.008629976667958282,0.0042518666178869334,0.017693127489051514
210.0,0.008575926273440173,0.004213160474894644,0.017632421658478125
211.0,0.008522311009526568,0.004174806702934125,0.017571924162039683
212.0,0.008469349944746626,0.004136802097235686,0.01751163428830752
213.0,0.008415173316702744,0.004099143480276125,0.01745155132826894
214.0,0.008361374499502531,0.00406182770304769,0.017391674575313154
215.0,0.008306688290494853,0.0040248516447336175,0.017332003325217178
216.0,0.008255488148739599,0.003988212212383659,0.017272536876131752
217.0,0.00820362309372148,0.003951906340589616,0.017213274528567253
218.0,0.008150299236388527,0.003915930991160875,0.017154215580119963
219.0,0.008098699463078712,0.003880283152799936,0.017095359319294866
220.0,0.008047474609758184,0.003844959840777945,0.01703670505087712
221.0,0.007997236128011315,0.0038099580966102307,0.016978252082962816
222.0,0.00794813885800303,0.0037752749877318324,0.016919999725883424
223.0,0.007898966770784308,0.003740907607173036,0.01686194729219102
224.0,0.007849769190287171,0.0037068530732349042,0.016804094096643532
225.0,0.00780064772287129,0.0036731085291648083,0.01674643945618994
226.0,0.007752160990887303,0.0036396711428319643,0.016688982689955514
227.0,0.0077023809327840045,0.003606538106402962,0.016631723119227042
228.0,0.007654325318587273,0.0035737066360172977,0.016574660067438046
229.0,0.007604210697996157,0.0035411739879707845,0.016517792860154017
230.0,0.0075550823017459376,0.003508937503557064,0.01646112082505763
231.0,0.007507979069440113,0.0034769944954947778,0.01640464329193398
232.0,0.007461953428229777,0.003445342293229621,0.0163483595926558
233.0,0.0074155017995394795,0.0034139782501740896,0.016292269061168683
234.0,0.007369637843168204,0.003382899743434397,0.01623637103347633
235.0,0.007323471478923151,0.003352104173537389,0.016180664847625734
236.0,0.007277821709611875,0.0033215889641574643,0.016125149843692448
237.0,0.007231800270554658,0.0032913515618434846,0.016069825363765788
238.0,0.00718599336764866,0.0032613894357456964,0.016014690751934055
239.0,0.00714087346907517,0.0032317000773426454,0.015959745354269774
240.0,0.007096540460504029,0.0032022810001680925,0.015904988518814913
241.0,0.007051905057813491,0.00317312973953793,0.0158504195955661
242.0,0.007006687351445889,0.0031442438522770993,0.01579603793645987
243.0,0.006962121892623056,0.0031156209164465063,0.015741842895357863
244.0,0.006918094887612121,0.0030872585310699374,0.015687833828032068
245.0,0.006873944218465442,0.0030591543158609773,0.01563401009215005
246.0,0.006829375823400304,0.0030313059109499233,0.015580371047260157
247.0,0.00678666499963617,0.003003710976610704,0.015526916054776765
248.0,0.006743904508249547,0.0029763671977664163,0.015473644477965494
249.0,0.006700975843519426,0.002949272336639817,0.01542055568192843
250.0,0.006658256561829924,0.0029224241441790583,0.01536764903358936
251.0,0.00661677438283018,0.0028958203757529387,0.015314923901678988
252.0,0.006573809152674065,0.0028694588068730845,0.01526237965672017
253.0,0.006532191972575639,0.0028433372329645847,0.015210015671013129
254.0,0.006490515711555589,0.002817453469136632,0.015157831318620687
255.0,0.006448698000565308,0.0027918053499531616,0.015105825975353487
256.0,0.006407993085202714,0.002766390729203488,0.01505399901875522
257.0,0.006367914850384227,0.0027412074796729436,0.015002349828087853
